year;goal_berlin_tons;model_xhain_tons
2018;0;1054358
2019;952893;952893
2020;807468;874065
2021;775662;971590
2022;743856;948451
2023;712050;918991
2024;680243;836751
2025;648437;756695
2026;597388;678784
2027;546339;602980
2028;495289;529242
2029;444240;457531
2030;393191;387812
2031;366064;358157
2032;338937;329276
2033;311811;301153
2034;284684;273775
2035;257558;247129
2036;230431;221201
2037;203304;195978
2038;176178;171447
2039;149051;147594
2040;121925;124407
2041;109746;101874
2042;97568;79981
2043;85390;58716
2044;73212;38068
2045;61033;18023