year;thg_trend_tons
2018;1207306,117
2019;1105841,277
2020;1027013,893
2021;1124538,211
2022;1101398,9
2023;1078235,65
2024;1055786,9
2025;1034028,219
2026;1012936,044
2027;992487,6456
2028;972661,0988
2029;953435,2549
2030;934789,7133
2031;916704,7949
2032;899161,5157
2033;882141,5626
2034;865627,2689
2035;849601,5914
2036;834048,088
2037;818950,8962
2038;804294,7124
2039;790064,7717
2040;776246,8291
2041;762827,1404
2042;749792,4445
2043;737129,9462
2044;724827,2994
2045;712872,5913
2046;701254,3266
2047;689961,4128
2048;678983,1457
2049;668309,1957
2050;657929,5941